,Title,Brand,Price,Ratings,Sizes,Product Url,Image Url
35,Yellow Branded Round Collar Tshirt,Fashion ,"KSh 1,000 ",1,"['S', 'M', 'L', 'XL']",https://www.jumia.co.ke/fashion-yellow-branded-round-collar-tshirt-27827597.html,"https://ke.jumia.is/Hl6bKbOIuYGXLaBGvOwCxaR2cCQ=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/79/572872/1.jpg?4604"
36,Mens Solid Long Sleeve Dress Shirts Teal DX20190718,Fashion ,KSh 798 ,2,"['S', 'M', 'L', 'XL', 'XXL', 'XXXL']",https://www.jumia.co.ke/fashion-mens-solid-long-sleeve-dress-shirts-teal-dx20190718-27687105.html,"https://ke.jumia.is/y7r0g9QZp-BzY4I0pnAcJiFDGHg=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/50/178672/1.jpg?8239"
37,Round Neck Plain T-Shirt - White,Fashion ,KSh 380  - KSh 600 ,3,"['S', 'M', 'L', 'XL', 'XXL']",https://www.jumia.co.ke/fashion-round-neck-plain-t-shirt-white-13519103.html,"https://ke.jumia.is/GLohnncotoupzS9jX6boJumeyng=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/30/191531/1.jpg?3383"
38,Black Long-sleeved tshirt,Fashion ,KSh 750 ,1,"['S', 'M', 'L', 'XL']",https://www.jumia.co.ke/fashion-black-long-sleeved-tshirt-25859758.html,"https://ke.jumia.is/2nd4M1sv5h-w5_lq7kwPjZagCHs=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/85/795852/1.jpg?6149"
39,Men's fashion casual breathable long-sleeved printed shirt,Fashion ,"KSh 1,450 ",,"['M', 'L', 'XL', 'XXL', 'XXXL', 'XXXXL', 'XXXXXL']",https://www.jumia.co.ke/fashion-mens-fashion-casual-breathable-long-sleeved-printed-shirt-25404902.html,"https://ke.jumia.is/JrV-W9oF2iEwQEWp8iC1WW4lQ1Y=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/20/940452/1.jpg?3586"
40,T-Shirts Cotton Shirts Short Sleeve BLACK,Fashion ,KSh 749 ,,"['L', 'XL']",https://www.jumia.co.ke/fashion-t-shirts-cotton-shirts-short-sleeve-black-28124719.html,"https://ke.jumia.is/BLJzMNe2O2WdImSSKjMtSo_in4E=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/91/742182/1.jpg?6586"
41,Maroon Formal Official Long Sleeved Shirt-Slim Fit,Fashion ,"KSh 1,199 ",1,"['S', 'M', 'L', 'XL', 'XXL']",https://www.jumia.co.ke/fashion-maroon-formal-official-long-sleeved-shirt-slim-fit-22780260.html,"https://ke.jumia.is/V0ViEHZSElz5Ap8md8Od2HqNFCU=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/06/208722/1.jpg?3347"
42,3 Pack V Neck T-shirts /white Black /Grey,Fashion ,"KSh 1,500 ",,"['M', 'L', 'XL']",https://www.jumia.co.ke/fashion-3-pack-v-neck-t-shirts-white-black-grey-28482646.html,"https://ke.jumia.is/lbsoT-E8wYiRwL4JKNP56Xe-Q_I=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/64/628482/1.jpg?6125"
43,2019 Men's Fashion Casual Long Sleeve Shirt  Red,Fashion ,"KSh 1,124 ",,"['M', 'L', 'XL', 'XXL']",https://www.jumia.co.ke/fashion-2019-mens-fashion-casual-long-sleeve-shirt-red-25664200.html,"https://ke.jumia.is/Xay0xMjZmI1F9HSmrKAsNNG-vhU=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/00/246652/1.jpg?6566"
44,Mens Short Sleeve Printed Round Neck Tee - 150 Grams,Jack & Jones ,KSh 530 ,4,"['S', 'L', 'XL', 'XXL']",https://www.jumia.co.ke/jack-jones-mens-short-sleeve-printed-round-neck-tee-150-grams-26322009.html,"https://ke.jumia.is/7eP-KcgOdbx449FLUB7mvjSPKJ4=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/90/022362/1.jpg?3966"
